Annual Income,Maximum Open Credit,Current Loan Amount,Credit Score,Number of Open Accounts,Years of Credit History,Number of Credit Problems,Current Credit Balance,Monthly Debt,Years_in_curent_job_new,Is_Term,Is_Home_Ownership,Is_Purpose_business loan,Is_Purpose_other,Is_Purpose_small business,Credit Default
-1.0513668772368137,-0.6975433436101647,-0.5013615823393072,-1.8328887028136736,-0.8415711152485453,-1.081799662477813,-0.36506559973848624,-0.21934306581828572,-0.9578637699976699,-1.445882267362844,0,0,0,1,0,1
-0.670358006846207,-1.0311593557304326,-1.2518591658223155,-0.18947060990820835,-0.8415711152485453,-0.9255824211299956,-0.36506559973848624,-0.6783077116661077,-1.1041831108149645,-0.9239031094701204,0,0,0,1,0,0
1.3747150406562187,4.289123834982651,1.0016523281265868,1.133280538040093,2.825464600891194,0.5087758857908714,-0.36506559973848624,3.0974804955464057,2.6781508866558306,1.1640135221007732,0,1,0,1,0,1
-0.4441911029063141,-0.20947463745615258,0.2278798195861929,0.6923634887239924,0.3807741234768914,1.4176761990872628,-0.36506559973848624,-0.4244365406690121,0.32127751605839366,-1.7068718463092056,0,1,0,1,0,1
0.31364236979563015,-0.2921445497351087,0.17752998170695303,-2.434139224607112,2.82546460093262,0.4519696162098472,-0.36506559973848624,-0.14868713831214797,-0.26198743220814047,-1.1848926884164823,1,0,0,1,0,1
-0.3842623668492628,-0.04625802922453044,-0.5045678220155795,0.15770758459865777,-1.045295321702785,0.80700880109125,-0.36506559973848624,-0.07235243490661675,-0.8863391867786713,1.1640135221007732,1,0,0,1,0,0
-0.5034441865116194,3.2136470034935205,-0.32109966276221724,-2.1936390158900045,0.7882225363853703,1.446079333877775,-0.36506559973848624,3.839068851418779,0.7695429578975097,0.9030239431544116,1,0,0,1,0,0
0.3210730527639903,-0.01838516809004086,2.260517024725222,-4.277974158111825,0.1770499170226519,-0.4143259949007756,-0.36506559973848624,0.47651619991686617,0.432631146204736,-0.14093437263103534,1,0,0,1,0,1
-0.7939382002908758,-0.5231233811462032,0.2050798929993673,0.17127970316860108,0.5844983299311308,-0.45693069708654405,-0.36506559973848624,-0.4638890890226931,-0.13310902141376682,-0.9239031094701204,0,0,0,1,0,0
-0.2481556452123255,-0.37291711976503966,0.16114253447267213,0.09853509844183056,-0.8415711152485453,0.7360009641149694,-0.36506559973848624,-0.8256570021082649,-0.4482196705778892,-1.445882267362844,0,0,0,1,0,1
-0.7940343903616636,-0.061662641293997136,-0.4381867857549779,0.2514464394078921,-0.637846908794306,-0.48533383187705614,-0.36506559973848624,0.19036567117584974,-0.04556896879872059,-0.4019239515773971,0,0,0,1,0,0
-0.5747691240007977,0.8753533808317451,0.6777033712054397,0.572113384365056,-0.43412270234006645,1.1478464185773964,-0.36506559973848624,0.6955376198682103,-0.02041378126566133,0.12005520631532639,1,0,0,1,0,0
0.6758280763761446,1.1265253547503222,2.5547785772364398,0.05769068363977888,-0.230398495885827,1.218854255553677,-0.36506559973848624,1.8446229789633757,0.5772734745198268,-0.4019239515773971,0,0,0,1,0,0
-0.11149369556889584,-0.4235129130723789,-0.13205027147978832,1.2134472742807008,4.2515340461143865,-0.4143259949007756,-0.36506559973848624,-0.811549727242403,-0.6834206740119932,-1.7068718463092056,0,1,0,1,0,0
0.5091876987166268,1.207614148488424,1.1011645077086694,-0.15024960838418655,1.603119362202328,0.09693043132844438,-0.36506559973848624,0.055748794066017085,1.112240462722887,1.1640135221007732,1,1,0,1,0,1
-0.436096357932346,-0.12025437693651414,1.5499193127691586,-0.224022170726292,-0.230398495885827,-0.5421401014580807,2.7392337177656487,-0.6519462361752391,-0.45601777871313753,1.1640135221007732,1,1,0,1,0,1
